id,,dana's annotations,carrie's annotations,agreement,adjudicated,84
385,"And most importantly to our volunteers, and I see so many of you out there. You delivered every day, rain or shine. You knocked doors, you made calls, you put up signs, you brought your friends and your families to the polls. So I want to tell you, this victory is your victory. Thank you for working so hard on behalf of this team. David Barker – whoo! [applause]

I also want to thank Fred Hubbell. He called to wish me best. It was a hard-fought campaign. He wished me well. I told him I looked forward to sitting down with him. He represented a lot of Iowans across this state and a lot of issues that are important to them, and I think that this is an opportunity for us to both sit down and work together and make sure that we can maybe find some common ground to address some of the issues that were important to the people that he was out there fighting for. [applause] You know, we both ran for governor wanting the best of our state and so I wish him and his family well.",Optimistic,Optimistic,TRUE,Optimistic,
386,"When it comes to the border, this is truly a dereliction of duty. I mean, this is a national security threat like no other. When I was governor in South Carolina, we passed the toughest illegal immigration law in the country. President Obama sued us over it and we won. We will take what we did in South Carolina and go national with it. We did a e-verify program that required businesses to have to prove that the people they hire are in this country legally. We will defund sanctuary cities once and for all, no more safe havens for illegal immigrants. We'll put 25,000 Border Patrol and ICE agents on the ground and let them do their job. And then we'll go back to the remain in Mexico policy so that no one even steps foot on US soil and instead of catch and release, we'll do catch and deport. We've got to send them back. We've got to stop the incentive that's allowing, that's causing them to come in the first place.",Pessimistic,Pessimistic,TRUE,Pessimistic,
387,"An example of that vocal superiority is evident in a controversy now going on in Washington. And since I'm involved, I've been waiting to hear from the parents of young America. How far are they willing to go in giving to government their prerogatives as parents?

Let me state the case as briefly and simply as I can. An organization of citizens, sincerely motivated and deeply concerned about the increase in illegitimate births and abortions involving girls well below the age of consent, sometime ago established a nationwide network of clinics to offer help to these girls and, hopefully, alleviate this situation. Now, again, let me say, I do not fault their intent. However, in their well-intentioned effort, these clinics have decided to provide advice and birth control drugs and devices to underage girls without the knowledge of their parents.",Pessimistic,Pessimistic,TRUE,Pessimistic,
388,"Relationships matter. Open communication between the executive and legislative branch matter. So going forward, I want you to know we are focused on being effective.

The last 19 months have been busy, challenging and rewarding. Working together, Alabama has achieved new heights, but we cannot rest on our success. With your help and support, I plan to replicate a proven model by which I will govern in the next four years.

Alabama’s best days are just ahead of us. [applause]",Optimistic,Optimistic,TRUE,Optimistic,
389,"You know my friends that’s the size of it because November is around the corner okay November is around the corner, and I want you to know I fired up, I'm gonna get up early tomorrow morning and get back at it because we got a real race ahead of us, we have a real race ahead of us and we know what that is. Now we know our opponent, it’s Allan Fung and we know two things about Allan Fung. Number one, he opposes the job creation policies of my administration that had created over 20,000 jobs, and we know you know he’s not gonna have the courage to stand up to President Trump who wants to take away our healthcare and drill off the coast of Rhode Island for oil and we know that we're Rhode Islanders are craving change and they're not gonna vote for political insiders so we’re gonna party tonight, we're gonna say thank you for all of our supporters for getting out there some of us have been on all day to dry our shoes, so we're ready to play our walking shoes back on tomorrow and get back out there and knock on doors. Four more years… we’re gonna get it done, so to all of you I just want to say thank you.",Optimistic,Pessimistic,FALSE,Pessimistic,
390,"The two worlds we see now each contain both truth and distortion. Both black and white Americans must face this, for honesty is the only gateway to the many acts of reconciliation that will unite our worlds at last into one America.
White America must understand and acknowledge the roots of black pain. It began with unequal treatment, first in law and later in fact. African-Americans indeed have lived too long with a justice system that in too many cases has been and continues to be less than just. The record of abuses extends from lynchings and trumped up charges to false arrests and police brutality. The tragedies of Emmett Till and Rodney King are bloody markers on the very same road. Still today, too many of our police officers play by the rules of the bad old days. It is beyond wrong when law-abiding black parents have to tell their law-abiding children to fear the police whose salaries are paid by their own taxes.",Pessimistic,Pessimistic,TRUE,Pessimistic,
391,"They neglected a nuclear menace in North Korea; made a disastrous, weak, and incomprehensibly bad deal with Iran; and allowed terrorists such as ISIS to gain control of vast parts of territory all across the Middle East.

They put American energy under lock and key. They imposed punishing regulations and crippling taxes. They surrendered our sovereignty to foreign bureaucrats in faraway and distant capitals.",Pessimistic,Pessimistic,TRUE,Pessimistic,
392,"But Donald Trump is trying to divide us by undermining that right. He has threatened to withhold federal funding to Nevada because of our vote by mail system, that's funding our schools and seniors rely on. He has challenged us in court with a meritless lawsuit, one that our republican secretary of state has asked the judge to dismiss. And now he is putting the lives of Nevada's seniors at risk by trying to defund the post office. Here's what that means: seniors won't be able to get their prescriptions because he wants to win an election. Well Mr. President, Nevada is not intimidated by you. America is not intimidated by you.",Pessimistic,Pessimistic,TRUE,Pessimistic,
393,"During those first hours on bloody Omaha, nothing seemed to go right. Landing craft were ripped apart by mines and shells. Tanks sent to protect them had sunk, drowning their crews. Enemy fire raked the invaders as they stepped into chest-high water and waded past the floating bodies of their comrades. And as the stunned survivors of the first wave huddled behind a seawall, it seemed the invasion might fail.
Hitler and his followers had bet on it. They were sure the Allied soldiers were soft, weakened by liberty and leisure, by the mingling of races and religion. They were sure their totalitarian youth had more discipline and zeal.",Pessimistic,Pessimistic,TRUE,Pessimistic,
394,"And we’re—really, I’m very happy the governors have been—the governors, really, have been doing a really good job working with us, and it’s—it’s, really, pretty impressive to see. I’ve spoken to numerous leaders of countries over the last 48 hours, and they are saying we’re leading the way. We’re really leading the way in so many different ways.

I’m also very pleased that Harvard—as you know, it’s Harvard and Stanford and Princeton and numerous other universities and colleges, and also large businesses have sent funds back to us. And in some cases, I stopped funds that I looked at. And we are pleased to report that the funds have either not gone out or it’s about $350 million, and they’ve either not gone out or we’ve renegotiated it and they’re not getting them.",Optimistic,Optimistic,TRUE,Optimistic,
395,"Yet today I consider myself the luckiest man on the face of the earth.

I have been in ballparks for seventeen years and have never received anything but kindness and encouragement from you fans. Look at these grand men. Which of you wouldn’t consider it the highlight of his career just to associate with them for even one day?",Optimistic,Optimistic,TRUE,Optimistic,
396,"I contend, my friends, that we have no difficult problem to solve in America, and that is the view of nearly everyone with whom I have discussed the matter here in Washington and elsewhere throughout the United States -- that we have no very difficult problem to solve.

It is not the difficulty of the problem which we have; it is the fact that the rich people of this country -- and by rich people I mean the super-rich -- will not allow us to solve the problems, or rather the one little problem that is afflicting this country, because in order to cure all of our woes it is necessary to scale down the big fortunes, that we may scatter the wealth to be shared by all of the people.

We have a marvelous love for this Government of ours; in fact, it is almost a religion, and it is well that it should be, because we have a splendid form of government and we have a splendid set of laws. We have everything here that we need, except that we have neglected the fundamentals upon which the American Government was principally predicated.",Pessimistic,Pessimistic,TRUE,Pessimistic,
397,"Yet, no doubt one of the most beautiful things -- as her eldest daughter and I discussed -- when you witness love and being loved the way we have by each our respectable mothers, you almost feel like you don't have the right to ask them to stay a day longer, when they are now in the arms of He who loved her most. For it is not fair to rob someone of that. Because if she was here, we'd still be on the receiving end. But from a chair, and quietly silent, the reflection -- and I know He reached down caressing her, and saying, ""I'm here all the while."" Sometimes just the human being needs simply that.",Optimistic,Optimistic,TRUE,Optimistic,
398,"Good evening, America. I’m Michelle Lujan Grisham, governor of the great state of Nuevo Mexico. I'm proud of my home state every single day, especially how we have punched above our weight in our successful response to COVID-19. I'm proud of New Mexicans from Taos to Truth or Consequences who have stepped up and sacrificed in so many incredible ways this past half year. And I'm proud how we embrace our multicultural identity as our greatest strength. And I'm proud that New Mexico has shown what climate leadership looks like. While the Trump administration has been eliminating environmental protections, we've expanded them. While they've been rolling back regulations on oil and gas, we've taken on polluters and held them accountable. We've committed to a renewable energy future with exciting and fulfilling careers for workers all across our beautiful state, including right here in the heart of northern New Mexico. We're laying a road map here for what America can and should look like in the 21st century. In America, where we lead again, where we build safer cleaner and more affordable cities and communities, where we provide meaningful opportunities for workers and families to thrive and build better lives. As president, Joe Biden will rejoin the international climate agreement and the United States will once again lead on this critical issue. At home, he'll invest in energy workers and he will deliver for working families across the U.S., helping them build meaningful careers while accelerating our nation and world into a clean, green 21st century and well beyond. We know time is running out to save our planet, we have the chance this November to end two existential crises: the Trump presidency and the environmental annihilation he represents. We have the chance this November to attack the climate crisis, invest in green 21st century jobs and embrace the clean energy revolution our country, our young people are crying out for and the leadership the rest of the world is waiting for. The choice is clear. The choice is Joe Biden. Thank you, America.",Optimistic,Optimistic,TRUE,Optimistic,
399,"The last time that I came to this Stadium was 22 years ago, when I visited it in November of 1940 as a student at a nearby small school for the game with Stanford. And we got a--I must say I had a much warmer reception today than I did from my Coast friends here on that occasion. In those days we used to fill these universities for football, and now we do it for academic events, and I'm not sure that this doesn't represent a rather dangerous trend for the future of our country.

I am delighted to be here on this occasion for though it is the 94th anniversary of the Charter, in a sense this is the hundredth anniversary. For this university and so many other universities across our country owe their birth to the most extraordinary piece of legislation which this country has ever adopted, and that is the Morrill Act, signed by President Abraham Lincoln in the darkest and most uncertain days of the Civil War, which set before the country the opportunity to build the great land-grant colleges, of which this is so distinguished a part. Six years later, this university obtained its Charter.",Optimistic,Neutral,FALSE,Neutral,
400,"Well, let me—let me start. Of course, because Hillary’s, you know, many tributes to me was—taken me off of, just kind of thrown me a little bit. It was very generous. But I just want to take this moment publicly to thank Hillary. I mean there—it takes a level of generosity of spirit to do what Hillary has done in her career in her life for our family, for this nation.

And if people wonder, yes Hillary Clinton is my friend. She has been a friend to me and Barrack and Malia and Sasha. And Bill and Chelsea have been embracing and supportive from the very day my husband took the oath of office.",Optimistic,Optimistic,TRUE,Optimistic,
401,"It is with great pride that I participate in this ceremony of the American University, sponsored by the Methodist Church, founded by Bishop John Fletcher Hurst, and first opened by President Woodrow Wilson in 1914. This is a young and growing university, but it has already fulfilled Bishop Hurst's enlightened hope for the study of history and public affairs in a city devoted to the making of history and to the conduct of the public's business. By sponsoring this institution of higher learning for all who wish to learn, whatever their color or their creed, the Methodists of this area and the Nation deserve the Nation's thanks, and I commend all those who are today graduating.

Professor Woodrow Wilson once said that every man sent out from a university should be a man of his nation as well as a man of his time, and I am confident that the men and women who carry the honor of graduating from this institution will continue to give from their lives, from their talents, a high measure of public service and public support. ""There are few earthly things more beautiful than a university,"" wrote John Masefield in his tribute to English universities -- and his words are equally true today. He did not refer to towers or to campuses. He admired the splendid beauty of a university, because it was, he said, ""a place where those who hate ignorance may strive to know, where those who perceive truth may strive to make others see.""",Optimistic,Neutral,FALSE,Optimistic,
402,"I entered this race now 18 months ago because I was personally frustrated with those decisions that were being made out in Washington, decisions that are hurting hard-working Iowa families, decisions that are helping only corporations and millionaires and billionaires.

Well you know what? You all got busy, you got the vote out and we're going to change that. [cheers]

Because when it comes to Washington, corporations and special interests, boy they've had their time. They had a seat at the table but now it's time for Iowans to have a voice.",Optimistic,Pessimistic,FALSE,Optimistic,
403,"As we all know, devotion to that land has also been the source of conflict and bloodshed for too long. Throughout this century, bitterness between the Palestinian and Jewish people has robbed the entire region of its resources, its potential, and too many of its sons and daughters. The land has been so drenched in warfare and hatred, the conflicting claims of history etched so deeply in the souls of the combatants there, that many believed the past would always have the upper hand.
Then, 14 years ago, the past began to give way when, at this place and upon this desk, three men of great vision signed their names to the Camp David accords. Today we honor the memories of Menachem Begin and Anwar Sadat, and we salute the wise leadership of President Jimmy Carter. Then, as now, we heard from those who said that conflict would come again soon. But the peace between Egypt and Israel has endured. Just so, this bold new venture today, this brave gamble that the future can be better than the past, must endure.",Optimistic,Neutral,FALSE,Neutral,
404,"This election will not mean the end of violence. But it is the beginning of something new: constitutional democracy at the heart of the Middle East. And this vote -- 6,000 miles away, in a vital region of the world -- means that America has an ally of growing strength in the fight against terror.

All who had a part in this achievement -- Iraqis, and Americans and our coalition partners -- can be proud. Yet our work is not done. There is more testing and sacrifice before us. I know many Americans have questions about the cost and direction of this war. So tonight I want to talk to you about how far we have come in Iraq, and the path that lies ahead.",Neutral,Optimistic,FALSE,Neutral,
405,"So here we are, commencement, life’s great forward-looking ceremony. And don’t say, ""What about weddings?"" Weddings are one-sided and insufficiently effective. Weddings are bride-centric pageantry. Other than conceding to a list of unreasonable demands, the groom just stands there -- no stately, hey-everybody-look-at-me procession; no being given away; no identity-changing pronouncement.

And can you imagine a television show dedicated to watching guys try on tuxedos? Their fathers sitting there misty-eyed with joy and disbelief; their brothers lurking in the corner muttering with envy. Left to men, weddings would be, after limits-testing procrastination, spontaneous, almost inadvertent -- during halftime, on the way to the refrigerator. And then there’s the frequency of failure: statistics tell us half of you will get divorced. A winning percentage like that’ll get you last place in the American League East. The Baltimore Orioles do better than weddings.",Pessimistic,Pessimistic,TRUE,Pessimistic,
406,"Hey everybody, I just called Kirsten Sinema and congratulated her on becoming Arizona’s first female senator after a hard fought battle. I wish her all success as she represents Arizona in the Senate, and I also want to say thank you to everyone who supported me in this campaign, my staff and volunteers and everybody who voted for me. I’m so grateful for you as my wingman and wingwomen in this journey. We sure wish it came out with a different result, but I’m so thankful for you. As I traveled around this state, I was so inspired by the many people that I met and I am convinced Arizona is the best state in the country and our best days are still yet to come and I’m going to continue to pray for our success. Thank you so much.",Optimistic,Optimistic,TRUE,Optimistic,
407,"We come to Berlin, we American Presidents, because it's our duty to speak in this place of freedom. But I must confess, we’re drawn here by other things as well; by the feeling of history in this city -- more than 500 years older than our own nation; by the beauty of the Grunewald and the Tiergarten; most of all, by your courage and determination. Perhaps the composer, Paul Linke, understood something about American Presidents. You see, like so many Presidents before me, I come here today because wherever I go, whatever I do: Ich hab noch einen Koffer in Berlin. [I still have a suitcase in Berlin.]

Our gathering today is being broadcast throughout Western Europe and North America. I understand that it is being seen and heard as well in the East. To those listening throughout Eastern Europe, I extend my warmest greetings and the good will of the American people. To those listening in East Berlin, a special word: Although I cannot be with you, I address my remarks to you just as surely as to those standing here before me. For I join you, as I join your fellow countrymen in the West, in this firm, this unalterable belief: Es gibt nur ein Berlin. [There is only one Berlin.]",Neutral,Neutral,TRUE,Neutral,
408,"When I was thinking of the contributions to our country of the man that we're honoring today, a passage attributed to the American poet John Greenleaf Whittier comes to mind. ""Each crisis brings its word and deed."" In America, in the fifties and sixties, one of the important crises we faced was racial discrimination. The man whose words and deeds in that crisis stirred our nation to the very depths of its soul was Dr. Martin Luther King, Jr.

Martin Luther King was born in 1929 in an America where, because of the color of their skin, nearly 1 in 10 lived lives that were separate and unequal. Most black Americans were taught in segregated schools. Across the country, too many could find only poor jobs, toiling for low wages. They were refused entry into hotels and restaurants, made to use separate facilities. In a nation that proclaimed liberty and justice for all, too many black Americans were living with neither.",Pessimistic,Neutral,FALSE,Pessimistic,
409,"Under Bush, Latinas make only 57 cents for every dollar earned by their male counterparts, and one—listen to this—one out of every three Latinos lacks health insurance. In response to these tragic disparities, Senator Obama co-sponsored the Paycheck Fairness Act in order to close the gender pay gap. He proposed a national health care plan to provide affordable, quality health care coverage for every American who needs it, and he co-authored the Minority Health Improvement and Health Disparity Elimination Act.

Senator Barack Obama is the change that we in American need. He is standing up for us, and we must stand up for him. Let's get our country back on track by electing Senator Barack Obama as our best president of the United States in November.

Votemos por Obama para Presidente! Vote for Senator Barack Obama!",Pessimistic,Optimistic,FALSE,Optimistic,
410,"THANK YOU. YOU KNOW, WE TOOK ON A TOUGH FIGHT, DIDN’T WE? AND-AND WE CAME CLOSE. AND YOU KNOW WHAT? YOU STOOD WITH ME EVERY MINUTE. THANK YOU.

YOU KNOW, AND WE WORKED HARD ACROSS THE STATE, AND TOGETHER WE RAN JUST AN INCREDIBLY STRONG CAMPAIGN. AND YOU KNOW WHAT? WE ARE GOING TO STAND HERE BECAUSE WE CAN BE PROUD OF WHAT WE HAVE DONE.

THANK YOU",Optimistic,Optimistic,TRUE,Optimistic,
411,"I do want to thank the United States Congress for moving expeditiously on this matter and for doing it before their first recess so that every Member of Congress who voted for this bill can go home and say, ""We are up there working on your problems and your promise, trying to make a better future for you."" This sends a clearer signal than any words any of us could utter, that we have tried to give this Government back to the American people. And I am very appreciative that the Congress has moved so rapidly on this bill.
There are many, many Members of Congress here and many others who are not here who played a major role in this legislation. Time does not permit me to mention them all, but I do want to thank the Senate majority leader for his heroic efforts in the 11th hour to make sure we passed this bill; Senator Kennedy and Senator Dodd for their passionate and years-long commitment to this effort. I want to thank the Speaker, Speaker Foley, and Congressman Ford, the chairman of the committee that had jurisdiction over this bill, and Congresswoman Pat Schroeder and all the other Democrats who worked on this bill.
But I want to acknowledge, too, consistent with the promise I made in my Inaugural to reach out to members of both parties who would try to push for progress, that this bill also had passionate support among Republicans. My old colleague in the Governors' Association, Senator Kit Bond from Missouri, I thank you for your leadership. Senator Jeffords and Senator Coats I don't believe are here, but they supported this bill strongly; and Congresswoman Marge Roukema from New Jersey, her commitment on this was unwavering; Congresswoman Susan Molinari from New York and many other Republicans voted for, spoke for, and worked for this bill. I thank them, the subcommittee chairs who are here, and all the others who worked so hard to make this bill a real live promise kept for the Congress to the people of the United States.",Optimistic,Optimistic,TRUE,Optimistic,
412,"I want to tell everyone in this room – the single moms, the people drowning in student debt, black and Hispanic and Native American and Asian communities who have been under attack, trans and LGBTQ people who deserve never to be erased, disabled folks fighting for dignity and independence, folks trying to keep a roof over your children’s heads and food on the table to insure your child gets a shot in life – I see you. I’m listening. I love you. We fight together, and I will bring that fight to Congress!

Seventy years ago, Native Americans right here in New Mexico couldn’t vote. Can you believe that?

Growing up in my mother’s pueblo household and as a thirty-fifth generation New Mexican, I never imagined a world where I would be represented by someone who looks like me. Tonight, New Mexico, you are sending one of the very first Native American women to Congress!",Optimistic,Optimistic,TRUE,Optimistic,
413,"We meet in an hour of grief and challenge. Dag Hammarskjold is dead. But the United Nations lives. His tragedy is deep in our hearts, but the task for which he died is at the top of our agenda. A noble servant of peace is gone. But the quest for peace lies before us.

The problem is not the death of one man--the problem is the life of this organization. It will either grow to meet the challenges of our age, or it will be gone with the wind, without influence, without force, without respect. Were we to let it die, to enfeeble its vigor, to cripple its powers, we would condemn our future.",Pessimistic,Pessimistic,TRUE,Pessimistic,
414,"The immediate threat to free men is in West Berlin. But that isolated outpost is not an isolated problem. The threat is worldwide. Our effort must be equally wide and strong, and not be obsessed by any single manufactured crisis. We face a challenge in Berlin, but there is also a challenge in Southeast Asia, where the borders are less guarded, the enemy harder to find, and the dangers of communism less apparent to those who have so little. We face a challenge in our own hemisphere, and indeed wherever else the freedom of human beings is at stake.

Let me remind you that the fortunes of war and diplomacy left the free people of West Berlin, in 1945, 110 miles behind the Iron Curtain.",Pessimistic,Pessimistic,TRUE,Pessimistic,
415,"About a decade ago, Al made a movie called ""An Inconvenient Truth."" Now, maybe some of you have seen it, but if you haven't, I hope you'll watch it tonight. It doesn't have a lot of special effects—but it does have a lot of drama.

And here's the main message: climate change is real, it's urgent, and America can take the lead in the world in addressing it. Right? We here in America can develop new clean energy solutions. We can transform our economy. We can rally the world to cut carbon pollution. And above all, we can fulfill our moral obligation to protect our planet for our children and our grandchildren.",Pessimistic,Optimistic,FALSE,Pessimistic,
416,"It is untenable for Israeli citizens to live in terror. It is untenable for Palestinians to live in squalor and occupation. And the current situation offers no prospect that life will improve. Israeli citizens will continue to be victimized by terrorists, and so Israel will continue to defend herself.

In the situation the Palestinian people will grow more and more miserable. My vision is two states, living side by side in peace and security. There is simply no way to achieve that peace until all parties fight terror. Yet, at this critical moment, if all parties will break with the past and set out on a new path, we can overcome the darkness with the light of hope. Peace requires a new and different Palestinian leadership, so that a Palestinian state can be born.",Pessimistic,Neutral,FALSE,Pessimistic,
417,"Today has been a day that should make us proud. It marked the end of the successful evacuation of PLO from Beirut, Lebanon. This peaceful step could never have been taken without the good offices of the United States and especially the truly heroic work of a great American diplomat, Ambassador Philip Habib.

Thanks to his efforts, I'm happy to announce that the U.S. Marine contingent helping to supervise the evacuation has accomplished its mission. Our young men should be out of Lebanon within 2 weeks. They, too, have served the cause of peace with distinction, and we can all be very proud of them.

But the situation in Lebanon is only part of the overall problem of conflict in the Middle East. So, over the past 2 weeks, while events in Beirut dominated the front page, America was engaged in a quiet, behind-the-scenes effort to lay the groundwork for a broader peace in the region. For once there were no premature leaks as U.S. diplomatic missions traveled to Mideast capitals, and I met here at home with a wide range of experts to map out an American peace initiative for the long-suffering peoples of the Middle East—Arab and Israeli alike.",Optimistic,Optimistic,TRUE,Optimistic,
418,"I would like to begin by addressing the heinous attack on the United States Capitol. Like all Americans, I am outraged by the violence, lawlessness, and mayhem. I immediately deployed the National Guard and federal law enforcement to secure the building and expel the intruders. 

America is, and must always be, a nation of law and order. The demonstrators who infiltrated the Capitol have defiled the seat of American democracy. 

To those who engaged in the acts of violence and destruction, you do not represent our country. 

And to those who broke the law, you will pay. 

We have just been through an intense election, and emotions are high, but now tempers must be cooled, and calm restored. We must get on with the business of America. ",Pessimistic,Pessimistic,TRUE,Pessimistic,
419,"The debate over whether to lift the ban on homosexuals in the military has, to put it mildly, sparked a great deal of interest over the last few days. Today, as you know, I have reached an agreement, at least with Senator Nunn and Senator Mitchell, about how we will proceed in the next few days. But first I would like to explain what I believe about this issue and why, and what I have decided to do after a long conversation, and a very good one, with the Joint Chiefs of Staff and discussions with several Members of Congress.
The issue is not whether there should be homosexuals in the military. Everyone concedes that there are. The issue is whether men and women who can and have served with real distinction should be excluded from military service solely on the basis of their status. And I believe they should not.
The principle on which I base this position is this: I believe that American citizens who want to serve their country should be able to do so unless their conduct disqualifies them from doing so. Military life is fundamentally different from civilian society; it necessarily has a different and stricter code of conduct, even a different code of justice. Nonetheless, individuals who are prepared to accept all necessary restrictions on their behavior, many of which would be intolerable in civilian society, should be able to serve their country honorably and well.",Pessimistic,Pessimistic,TRUE,Pessimistic,
420,"Think of the presidential candidates that have come through on this stage and have gone on to do amazing things for our country. Jimmy Carter Noah knew who he was. Bill Clinton, Barack Obama you have a big burden on your shoulders but that's because you're used to it. You know what Iowa gave us, Iowa gave us the Granger movement where you took on those big monopolies. It started here in the cornfields all right. You did that and we need to do that again. Iowa gave us as I mentioned, Norman Borlaug who fed the world. Iowa gave us Edna Griffin, that woman who went to Katz drugstore and sat at the counter and when they refused to serve her because she was black she said no, I'm not moving off of this counter, that's what you gave us. Iowa gave us these incredible candidates who are taking on the world and changing the house and that would be Abby and Cindy and Rita and JD who's going to beat Steve King in that district that is what you've given us. You have led the country and you are leading again, but the guy in the White House now, he governs from fear right he makes people afraid he says things on Twitter and most of the time he doesn't follow through but he makes people afraid. He is afraid himself, he is afraid of the NRA and that's why he didn't put common-sense gun legislation in place.",Pessimistic,Optimistic,FALSE,Pessimistic,
421,"Are you ready to work hard in this election and win it? Are you ready to send Ted Strickland to the United States Senate? I've known Ted a long time. He is a champion for workers and families. He knows that Ohio needs more good jobs with rising wages. And he is the kind of person who will actually work to get things done, breaking through the gridlock in Washington. And this is important: unlike his opponent, Ted Strickland has never been afraid to stand up to Donald Trump.

I also want to thank Mayor John Cranley and State Representative Alicia Reece and all the other elected officials, including my friend, the Secretary of State Alison Lundergan Grimes, from across the river in Kentucky. And we are so fortunate to have two other champions for American families with us today. I am awed by the courage and commitment that both Mark and Gabby bring to their work, to do everything they can to help save lives in America.",Optimistic,Optimistic,TRUE,Optimistic,
422,"In Lebanon, we have some 1,600 marines, part of a multinational force that's trying to help the people of Lebanon restore order and stability to that troubled land. Our marines are assigned to the south of the city of Beirut, near the only airport operating in Lebanon. Just a mile or so to the north is the Italian contingent and not far from them, the French and a company of British soldiers.

This past Sunday, at 22 minutes after 6 Beirut time, with dawn just breaking, a truck, looking like a lot of other vehicles in the city, approached the airport on a busy, main road. There was nothing in its appearance to suggest it was any different than the trucks or cars that were normally seen on and around the airport. But this one was different. At the wheel was a young man on a suicide mission.",Pessimistic,Pessimistic,TRUE,Pessimistic,
423,"This has been accomplished thus far without the use of National Guard or other troops. And it is to be hoped that the law enforcement officers of the State of Mississippi and the Federal marshals will continue to be sufficient in the future.

All students, members of the faculty, and public officials in both Mississippi and the Nation will be able, it is hoped, to return to their normal activities with full confidence in the integrity of American law.

This is as it should be, for our Nation is founded on the principle that observance of the law is the eternal safeguard of liberty and defiance of the law is the surest road to tyranny. The law which we obey includes the final rulings of the courts, as well as the enactment's of our legislative bodies. Even among law-abiding men few laws are universally loved, but they are uniformly respected and not resisted.",Neutral,Optimistic,FALSE,Neutral,
424,"
It is also fitting that we are joined today by the woman after whom this bill is named – someone Michelle and I have had the privilege of getting to know for ourselves. Lilly Ledbetter didn’t set out to be a trailblazer or a household name. She was just a good hard worker who did her job – and did it well – for nearly two decades before discovering that for years, she was paid less than her male colleagues for the very same work. Over the course of her career, she lost more than $200,000 in salary, and even more in pension and Social Security benefits – losses she still feels today.

Now, Lilly could have accepted her lot and moved on. She could have decided that it wasn’t worth the hassle and harassment that would inevitably come with speaking up for what she deserved. But instead, she decided that there was a principle at stake, something worth fighting for. So she set out on a journey that would take more than ten years, take her all the way to the Supreme Court, and lead to this bill which will help others get the justice she was denied. ",Neutral,Optimistic,FALSE,Optimistic,
425,"For nearly half a century ago, when my father and mother were first getting to know each other, two of the helpful matchmakers were Al Gore's parents, Albert and Pauline.

Al Gore and I share something more than that happy circumstance.

Both of us were raised to believe that we can make the world new again. If only we try.

That is what my father sought to do forty years ago, in this city, when he stood before you and declared the opening of the New Frontier.

It was not a set of promises, he said, but a set of challenges -- challenges of the mind and heart and spirit the challenge of giving of ourselves, of giving to our country.",Optimistic,Optimistic,TRUE,Optimistic,
426,"And it never really stopped. We’ve been going through this now for over three years. It was evil. It was corrupt. It was dirty cops. It was leakers and liars. And this should never, ever happen to another President ever. I don’t know that other Presidents would have been able to take it. Some people said, no, they wouldn’t have. But I can tell you, at a minimum, you have to focus on this because it can get away very quickly. No matter who you have with you, it can get away very quickly. It was a disgrace.

Had I not fired James Comey — who was a disaster, by the way — it’s possible I wouldn’t even be standing here right now. We caught him in the act. Dirty cops. Bad people. If this happened to President Obama, a lot of people would have been in jail for a long time already. Many, many years.",Pessimistic,Pessimistic,TRUE,Pessimistic,
427,"Earlier today, we heard the beginning of the Preamble to the Constitution of the United States: ""We, the people."" It's a very eloquent beginning. But when that document was completed on the seventeenth of September in 1787, I was not included in that ""We, the people."" I felt somehow for many years that George Washington and Alexander Hamilton just left me out by mistake. But through the process of amendment, interpretation, and court decision, I have finally been included in ""We, the people.""

Today I am an inquisitor. An hyperbole would not be fictional and would not overstate the solemnness that I feel right now. My faith in the Constitution is whole; it is complete; it is total. And I am not going to sit here and be an idle spectator to the diminution, the subversion, the destruction, of the Constitution.",Optimistic,Pessimistic,FALSE,Neutral,
428,"Ladies and gentlemen, these people set -- they opened the doors, they gave us the right, and today, ladies and gentlemen, in our cities and public schools we have 50% drop out. In our own neighborhood, we have men in prison. No longer is a person embarrassed because they’re pregnant without a husband. No longer is a boy considered an embarrassment if he tries to run away from being the father of the unmarried child.

Ladies and gentlemen, the lower economic and lower middle economic people are not holding their end in this deal. In the neighborhood that most of us grew up in, parenting is not going on. In the old days, you couldn’t hooky school because every drawn shade was an eye. And before your mother got off the bus and to the house, she knew exactly where you had gone, who had gone into the house, and where you got on whatever you had one and where you got it from. Parents don’t know that today.",Pessimistic,Pessimistic,TRUE,Pessimistic,
429,"And I can assure you, he is moved by this great honor. The 2016 Republican primaries were fierce and started with many candidates, 17 to be exact, and I know that Donald agrees with me when I mention how talented all of them are. They deserve respect and gratitude from all of us.

However, when it comes to my husband, I will say that I am definitely biased, and for good reason.

I have been with Donald for 18 years and I have been aware of his love for this country since we first met. He never had a hidden agenda when it comes to his patriotism, because, like me, he loves this country so much. I was born in Slovenia, a small, beautiful and then-communist country in Central Europe. My sister Ines, who is an incredible woman and a friend, and I were raised by my wonderful parents. My elegant and hard-working mother Amalia introduced me to fashion and beauty. My father Viktor instilled in me a passion for business and travel. Their integrity, compassion and intelligence reflects to this day on me and for my love of family and America.",Optimistic,Optimistic,TRUE,Optimistic,
